Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_287205260.1,GCF_982939745.1: 25.408 | GCF_982941445.1: 25.188 | GCF_982950745.1: 25.944 | GCF_013213925.1: 22.75,GCF_982939745.1: -159.377 | GCF_982941445.1: -159.284 | GCF_982950745.1: -158.273 | GCF_013213925.1: -158,"GCF_982939745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982941445.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982950745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_013213925.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982939745.1: BioSample SAMEA122297038 latitude/longitude fields: 25.40800000; -159.37700000 | GCF_982939745.1: Parent BioSample SAMN18233102 lat_lon field: 25.408 N 159.377 W | GCF_982941445.1: BioSample SAMEA122297043 latitude/longitude fields: 25.18800000; -159.28400000 | GCF_982941445.1: Parent BioSample SAMN18233103 lat_lon field: 25.188 N 159.284 W | GCF_982950745.1: BioSample SAMEA122297027 latitude/longitude fields: 25.94400000; -158.27300000 | GCF_982950745.1: Parent BioSample SAMN18233099 lat_lon field: 25.944 N 158.273 W | GCF_013213925.1: BioSample SAMN14675776 lat_lon field: 22.75 N 158 W | GCF_013213925.1: GenBank NZ_JABSRO010000182.1 /lat_lon qualifier: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710598 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710599 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710600 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710601 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710602 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710603 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710604 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710605 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710606 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710607 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710608 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710609 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710610 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710611 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710612 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710613 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710614 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710615 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710616 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710617 lat_lon field: 22.75 N 158 W | GCF_013213925.1: Parent BioSample SAMN09710618 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297038 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233102 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297043 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233103 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297027 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233099 | https://www.ncbi.nlm.nih.gov/biosample/SAMN14675776 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABSRO010000182.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710598 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710599 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710600 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710601 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710602 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710603 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710604 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710605 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710606 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710607 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710608 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710609 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710610 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710611 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710612 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710613 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710614 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710615 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710616 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710617 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710618
WP_206004052.1,Not reported,Not reported,"Viet Nam: Hon Tre, Nha Trang Bay",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998047 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_VFBD01000004.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA548031
WP_332393413.1,GCF_036680945.1: 20.31,GCF_036680945.1: -94.13,Mexico: zone between Perdido belt and Coatzacoalcos | depth: 1000 m,GCF_036680945.1: BioSample SAMN39404677 lat_lon field: 20.31 N 94.13 W | GCF_036680945.1: GenBank NZ_JAZDAR010000022.1 /lat_lon qualifier: 20.31 N 94.13 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN39404677 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAZDAR010000022.1
WP_253048777.1,GCF_024124485.1: 26.16,GCF_024124485.1: -80.1,"USA: FL, Ft. Lauderdale",GCF_024124485.1: BioSample SAMN29222798 lat_lon field: 26.16 N 80.10 W | GCF_024124485.1: GenBank NZ_JAMXSD010000001.1 /lat_lon qualifier: 26.16 N 80.10 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN29222798 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAMXSD010000001.1
WP_474704773.1,GCF_977497065.1: 22.75,GCF_977497065.1: -158,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 500",GCF_977497065.1: BioSample SAMEA120720265 latitude/longitude fields: 22.75; -158.0 | GCF_977497065.1: Parent BioSample SAMN05991725 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120720265 | https://www.ncbi.nlm.nih.gov/biosample/SAMN05991725
WP_285220986.1,GCF_030247135.1: -22.74,GCF_030247135.1: -41.88,"Brazil: Buzios, Rio de Janeiro",GCF_030247135.1: BioSample SAMN34405137 lat_lon field: 22.74 S 41.88 W | GCF_030247135.1: GenBank NZ_JASSPH010000002.1 /lat_lon qualifier: 22.74 S 41.88 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN34405137 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JASSPH010000002.1
WP_300421023.1,GCF_950060615.1: -27.98,GCF_950060615.1: 63.25,"Indian Ocean | Indian Ocean:East of Madagascar, South Indian Ocean",GCF_950060615.1: BioSample SAMEA112957904 latitude/longitude fields: -27.98; 63.25 | GCF_950060615.1: Parent BioSample SAMN05422122 lat_lon field: 27.98 S 63.25 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112957904 | https://www.ncbi.nlm.nih.gov/biosample/SAMN05422122
WP_235374218.1,GCF_021532515.1: 16.79 | GCF_024124445.1: 16.79,GCF_021532515.1: -88.07 | GCF_024124445.1: -88.07,GCF_021532515.1: Belize: Carrie Bow Cay | GCF_024124445.1: Belize: Carrie Bow Cay,GCF_021532515.1: BioSample SAMN24731164 lat_lon field: 16.79 N 88.07 W | GCF_021532515.1: GenBank NZ_JAKGBH010000069.1 /lat_lon qualifier: 16.79 N 88.07 W | GCF_024124445.1: BioSample SAMN29222797 lat_lon field: 16.79 N 88.07 W | GCF_024124445.1: GenBank NZ_JAMXSC010000010.1 /lat_lon qualifier: 16.79 N 88.07 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN24731164 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAKGBH010000069.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN29222797 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAMXSC010000010.1
WP_342409634.1,GCF_038562745.1: 20.31,GCF_038562745.1: -94.13,Mexico: zone between Perdido belt and Coatzacoalcos | depth: 1000 m,GCF_038562745.1: BioSample SAMN40922803 lat_lon field: 20.31 N 94.13 W | GCF_038562745.1: GenBank NZ_JBCFQE010000002.1 /lat_lon qualifier: 20.31 N 94.13 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN40922803 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBCFQE010000002.1
WP_058584693.1,Not reported,Not reported,"Saudi Arabia: Erba deep brine-seawater interface, Red Sea | depth: 2000 m.",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04318431 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LOPY01000026.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA305180
WP_294410258.1,GCF_022447445.1: 24.65 | GCF_022447445.1: 24.6 | GCF_022447445.1: 24.63 | GCF_022447445.1: 24.66 | GCF_022447445.1: 24.67,GCF_022447445.1: -156.48 | GCF_022447445.1: -156.63 | GCF_022447445.1: -156.59 | GCF_022447445.1: -156.55 | GCF_022447445.1: -156.45 | GCF_022447445.1: -156.41,"Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150m",GCF_022447445.1: BioSample SAMN25998964 lat_lon field: 24.65 N 156.48 W | GCF_022447445.1: GenBank NZ_JAKVCJ010000024.1 /lat_lon qualifier: 24.65 N 156.48 W | GCF_022447445.1: Parent BioSample SAMN21216434 lat_lon field: 24.60 N 156.63 W | GCF_022447445.1: Parent BioSample SAMN21216435 lat_lon field: 24.63 N 156.59 W | GCF_022447445.1: Parent BioSample SAMN21216436 lat_lon field: 24.65 N 156.55 W | GCF_022447445.1: Parent BioSample SAMN21216437 lat_lon field: 24.65 N 156.48 W | GCF_022447445.1: Parent BioSample SAMN21216438 lat_lon field: 24.66 N 156.45 W | GCF_022447445.1: Parent BioSample SAMN21216439 lat_lon field: 24.67 N 156.41 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN25998964 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAKVCJ010000024.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216434 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216435 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216436 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216437 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216438 | https://www.ncbi.nlm.nih.gov/biosample/SAMN21216439
WP_300358640.1,GCF_950058495.1: -33.55 | GCF_950059505.1: -33.55 | GCF_950075255.1: -27.98 | GCF_982612165.1: -33.55,GCF_950058495.1: 39.89 | GCF_950059505.1: 39.89 | GCF_950075255.1: 63.25 | GCF_982612165.1: 39.89,"GCF_950058495.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950059505.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950075255.1: Indian Ocean | Indian Ocean:East of Madagascar, South Indian Ocean | GCF_982612165.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean",GCF_950058495.1: BioSample SAMEA112957923 latitude/longitude fields: -33.55; 39.89 | GCF_950058495.1: Parent BioSample SAMN05422165 lat_lon field: 33.55 S 39.89 E | GCF_950059505.1: BioSample SAMEA112957951 latitude/longitude fields: -33.55; 39.89 | GCF_950059505.1: Parent BioSample SAMN05421563 lat_lon field: 33.55 S 39.89 E | GCF_950075255.1: BioSample SAMEA112957915 latitude/longitude fields: -27.98; 63.25 | GCF_950075255.1: Parent BioSample SAMN05421913 lat_lon field: 27.98 S 63.25 E | GCF_982612165.1: BioSample SAMEA122205168 latitude/longitude fields: -33.55000000; 39.89000000 | GCF_982612165.1: Parent BioSample SAMN05421563 lat_lon field: 33.55 S 39.89 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112957923 | https://www.ncbi.nlm.nih.gov/biosample/SAMN05422165 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA112957951 | https://www.ncbi.nlm.nih.gov/biosample/SAMN05421563 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA112957915 | https://www.ncbi.nlm.nih.gov/biosample/SAMN05421913 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122205168
WP_235377235.1,GCF_021532495.1: 24.59,GCF_021532495.1: -81.4,"USA: FL, Keys FRRP 1177",GCF_021532495.1: BioSample SAMN24731157 lat_lon field: 24.59 N 81.40 W | GCF_021532495.1: GenBank NZ_JAKGBA010000004.1 /lat_lon qualifier: 24.59 N 81.40 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN24731157 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAKGBA010000004.1
WP_230237131.1,GCF_020966275.1: 25.102204,GCF_020966275.1: -80.438708,"USA: Florida Keys, Florida | depth: 0.5 m",GCF_020966275.1: BioSample SAMN22561259 lat_lon field: 25.102204 N 80.438708 W | GCF_020966275.1: GenBank NZ_JAJJZF010000018.1 /lat_lon qualifier: 25.102204 N 80.438708 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN22561259 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJJZF010000018.1
WP_055197275.1,Not reported,Not reported,USA: Woods Hole,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04026652 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LJSO01000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA294442
WP_462167324.1,GCF_054923805.1: 2.631577,GCF_054923805.1: -78.041853,Colombia:Iscuande | Colombia: Iscuande,GCF_054923805.1: BioSample SAMN48931352 lat_lon field: 2.631577 N 78.041853 W | GCF_054923805.1: GenBank NZ_JBPCHJ010000002.1 /lat_lon qualifier: 2.631577 N 78.041853 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931352 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCHJ010000002.1
WP_055021419.1,Not reported,Not reported,USA: Woods Hole,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04027294 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LKDX01000016.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA294442
WP_065978975.1,Not reported,Not reported,South Korea: Geomun-do,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN05374560 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_MBSZ01000023.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA328511
WP_417698834.1,GCF_048269825.1: 36.04,GCF_048269825.1: 120.26,China: Qingdao | depth: 1,GCF_048269825.1: BioSample SAMN46274395 lat_lon field: 36.04 N 120.26 E | GCF_048269825.1: GenBank NZ_JBLXHZ010000001.1 /lat_lon qualifier: 36.04 N 120.26 E | GCF_048269825.1: Parent BioSample SAMN47146600 lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274395 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBLXHZ010000001.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN47146600
WP_435559480.1,Not reported,Not reported,GCF_051235485.1: China | GCF_054031255.1: China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN49725152 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPNYQ010000039.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1284554 | https://www.ncbi.nlm.nih.gov/biosample/SAMN53543431 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSTOC010000036.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1372470
WP_462168155.1,GCF_054923955.1: 2.631577,GCF_054923955.1: -78.041853,Colombia:Iscuande | Colombia: Iscuande,GCF_054923955.1: BioSample SAMN48931347 lat_lon field: 2.631577 N 78.041853 W | GCF_054923955.1: GenBank NZ_JBPCHE010000001.1 /lat_lon qualifier: 2.631577 N 78.041853 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931347 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCHE010000001.1
WP_487093717.1,GCF_057546125.1: 36.178,GCF_057546125.1: 133.277,"Japan:Shimane, Oki, Sea of Japan | depth: 13",GCF_057546125.1: BioSample SAMD01680981 lat_lon field: 36.178 N 133.277 E | GCF_057546125.1: GenBank NZ_BAAJLW010000001.1 /lat_lon qualifier: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680981 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAAJLW010000001.1
WP_179025361.1,Not reported,Not reported,Australia: Jervis Bay,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN12071508 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP041329.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA549111
WP_487054184.1,GCF_057551365.1: 31.557,GCF_057551365.1: 130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay | depth: 22.9",GCF_057551365.1: BioSample SAMD01680987 lat_lon field: 31.557 N 130.564 E | GCF_057551365.1: GenBank NZ_BAAJMC010000006.1 /lat_lon qualifier: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680987 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAAJMC010000006.1
WP_353537636.1,GCF_040362745.1: 31.557,GCF_040362745.1: 130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay | depth: 5.2",GCF_040362745.1: BioSample SAMD00755688 lat_lon field: 31.557 N 130.564 E | GCF_040362745.1: GenBank NZ_BAABWO010000002.1 /lat_lon qualifier: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755688 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAABWO010000002.1
WP_487539752.1,GCF_982686925.1: 22.75,GCF_982686925.1: -158,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982686925.1: BioSample SAMEA122233261 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982686925.1: Parent BioSample SAMN09765711 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122233261 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765711
WP_291610914.1,GCF_982678925.1: 22.75 | GCF_013215345.1: 22.75,GCF_982678925.1: -158 | GCF_013215345.1: -158,"GCF_982678925.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_013215345.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982678925.1: BioSample SAMEA122232798 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982678925.1: Parent BioSample SAMN09710598 lat_lon field: 22.75 N 158 W | GCF_013215345.1: BioSample SAMN14675705 lat_lon field: 22.75 N 158 W | GCF_013215345.1: GenBank NZ_JABSOV010000012.1 /lat_lon qualifier: 22.75 N 158 W | GCF_013215345.1: Parent BioSample SAMN09710598 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122232798 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710598 | https://www.ncbi.nlm.nih.gov/biosample/SAMN14675705 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABSOV010000012.1
WP_216054076.1,GCF_018860345.1: 42.25,GCF_018860345.1: -70.54,"USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",GCF_018860345.1: BioSample SAMN19350953 lat_lon field: 42.25 N 70.54 W | GCF_018860345.1: GenBank NZ_JAHKPJ010000010.1 /lat_lon qualifier: 42.25 N 70.54 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN19350953 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHKPJ010000010.1
WP_487943909.1,GCF_982687545.1: 22.75,GCF_982687545.1: -158,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982687545.1: BioSample SAMEA122232815 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982687545.1: Parent BioSample SAMN09710601 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122232815 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09710601
WP_315947146.1,Not reported,Not reported,South Korea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN37631359 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAWCUA010000007.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022848
WP_144035305.1,Not reported,Not reported,South Korea: Jeju,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN12234422 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP041638.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA553310
WP_291624144.1,GCF_982684065.1: 22.75 | GCF_982684205.1: 22.75 | GCF_982684725.1: 22.75 | GCF_982685645.1: 22.75 | GCF_013214175.1: 22.75,GCF_982684065.1: -158 | GCF_982684205.1: -158 | GCF_982684725.1: -158 | GCF_982685645.1: -158 | GCF_013214175.1: -158,"GCF_982684065.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982684205.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982684725.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982685645.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_013214175.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982684065.1: BioSample SAMEA122233137 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982684065.1: Parent BioSample SAMN09765695 lat_lon field: 22.75 N 158 W | GCF_982684205.1: BioSample SAMEA122233109 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982684205.1: Parent BioSample SAMN09765692 lat_lon field: 22.75 N 158 W | GCF_982684725.1: BioSample SAMEA122232976 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982684725.1: Parent BioSample SAMN09765679 lat_lon field: 22.75 N 158 W | GCF_982685645.1: BioSample SAMEA122232969 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982685645.1: Parent BioSample SAMN09765678 lat_lon field: 22.75 N 158 W | GCF_013214175.1: BioSample SAMN14675710 lat_lon field: 22.75 N 158 W | GCF_013214175.1: GenBank NZ_JABSPA010000012.1 /lat_lon qualifier: 22.75 N 158 W | GCF_013214175.1: Parent BioSample SAMN09765678 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122233137 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765695 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122233109 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765692 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122232976 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765679 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122232969 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765678 | https://www.ncbi.nlm.nih.gov/biosample/SAMN14675710 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABSPA010000012.1
WP_353517955.1,GCF_040362795.1: 36.178,GCF_040362795.1: 133.277,"Japan:Shimane, Oki, Sea of Japan | depth: 13",GCF_040362795.1: BioSample SAMD00755696 lat_lon field: 36.178 N 133.277 E | GCF_040362795.1: GenBank NZ_BAABWW010000004.1 /lat_lon qualifier: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755696 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAABWW010000004.1
WP_490032689.1,GCF_058135875.1: 35.09,GCF_058135875.1: 139.14 | GCF_058135875.1: 139.162,Japan:Sagami Bay | Japan: Sagami Bay | depth: -853m,GCF_058135875.1: BioSample SAMN49747986 lat_lon field: 35.09 N 139.140 E | GCF_058135875.1: GenBank NZ_JBYVCV010000015.1 /lat_lon qualifier: 35.09 N 139.140 E | GCF_058135875.1: Parent BioSample SAMN49729351 lat_lon field: 35.09 N 139.162 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49747986 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBYVCV010000015.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN49729351
WP_215964367.1,GCF_018860285.1: 42.25 | GCF_018861025.1: 42.25,GCF_018860285.1: -70.54 | GCF_018861025.1: -70.54,"GCF_018860285.1: USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m | GCF_018861025.1: USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",GCF_018860285.1: BioSample SAMN19350960 lat_lon field: 42.25 N 70.54 W | GCF_018860285.1: GenBank NZ_JAHKPC010000045.1 /lat_lon qualifier: 42.25 N 70.54 W | GCF_018861025.1: BioSample SAMN19350929 lat_lon field: 42.25 N 70.54 W | GCF_018861025.1: GenBank NZ_JAHKQH010000037.1 /lat_lon qualifier: 42.25 N 70.54 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN19350960 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHKPC010000045.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN19350929 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHKQH010000037.1
WP_303521422.1,GCF_030548245.1: 42.42,GCF_030548245.1: -70.907,"USA:Canoe Beach, Nahant, MA | depth: 0",GCF_030548245.1: BioSample SAMN36510957 lat_lon field: 42.420 N 70.907 W | GCF_030548245.1: GenBank NZ_JAUORW010000004.1 /lat_lon qualifier: 42.420 N 70.907 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN36510957 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAUORW010000004.1
WP_227718221.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04349613 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LROY01000002.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA294922
WP_078085898.1,GCF_002009015.1: 15.5109,GCF_002009015.1: 73.8607,India:Goa | India: Goa | depth: not available,GCF_002009015.1: BioSample SAMN05214359 lat_lon field: 15.5109 N 73.8607 E | GCF_002009015.1: GenBank NZ_LZDE01000345.1 /lat_lon qualifier: 15.5109 N 73.8607 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN05214359 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LZDE01000345.1
WP_219932609.1,GCF_013367775.1: 27.5,GCF_013367775.1: 120.3,China: Wenzhou | depth: 0 m,GCF_013367775.1: BioSample SAMN15234871 lat_lon field: 27.5 N 120.3 E | GCF_013367775.1: GenBank NZ_CP055157.1 /lat_lon qualifier: 27.5 N 120.3 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN15234871 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP055157.1
