Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_303521422.1,42.42,-70.907,"USA:Canoe Beach, Nahant, MA; local setting: ENVO:01000687; depth: 0",BioSample lat_lon field: 42.420 N 70.907 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN36510957
WP_487093717.1,36.178,133.277,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",BioSample lat_lon field: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680981
WP_483313308.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120696770
WP_269970245.1,11.4,142.4,Pacific Ocean: The Mariana Trench; local setting: ocean trench ENVO:00000275; depth: 10890 m,BioSample lat_lon field: 11.4 N 142.4 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN15339468
WP_353537636.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; local setting: shoreline [ENVO:00000486]; depth: 5.2",BioSample lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755688
WP_353517955.1,36.178,133.277,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",BioSample lat_lon field: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755696
WP_311580946.1,41.4,2.48,"Spain:Blanes,Blanes Bay Microbial Observatory; local setting: ENVO:01000047; depth: surface",BioSample lat_lon field: 41.40 N 2.48 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37377065
WP_487943909.1,22.75,-158,Pacific Ocean,BioSample geographic location (latitude) field: 22.75000000; geographic location (longitude) field: -158.00000000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122232815
WP_375185160.1,17.04,110,China: South China Sea; local setting: marine69; depth: 1000m,BioSample lat_lon field: 17.04 N 110.00 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN43537493
WP_179025361.1,Not reported,Not reported,Australia: Jervis Bay,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN12071508
WP_394202901.1,Not reported,Not reported,China: Qingdao,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN32650246
WP_291624144.1,22.75,-158,"Pacific Ocean: North Pacific Gyre, Station ALOHA; local setting: ENVO:00000244|ENVO:00000211|ENVO:00000569|ENVO:00002023; depth: 4000m",BioSample lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN14675710
WP_353410179.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; local setting: shoreline [ENVO:00000486]; depth: 7.7",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755679
WP_216054076.1,42.25,-70.54,"USA:Massachusetts, Nahant, Canoe Beach; local setting: intertidal zone [ENVO:00000316]; depth: 0-2 m",BioSample lat_lon field: 42.25 N 70.54 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN19350953
WP_315947146.1,Not reported,Not reported,South Korea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN37631359
WP_490032689.1,35.09,139.14,Japan:Sagami Bay; local setting: Cold seep microbiome; depth: -853m,BioSample lat_lon field: 35.09 N 139.140 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49747986
WP_144035305.1,Not reported,Not reported,South Korea: Jeju,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN12234422
WP_138319590.1,Not reported,Not reported,"South Korea: South Sea, Jeju",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN11775790
